NAMA,IDPEL,ALAMAT,TARIF,DAYA,KDPT_2,TAGSASI / METER,UNITUP,WILKER,ULP,NOM MCB,X,Y,MERK METER,TYPE METER,NOMOR METER,NAMA GARDU,NO. TIANG,,
PJU DESA WONOREJO,514581024288,WONOREJO KEC KUNJANG,P3,3500.0,1.0,METER,51458.0,KAB,KERTOSONO,1591.0,-7.6691232,112.1866307,CANNET,DDS137,50904684870,HJ080,B01,,
PJU PESING,514010666774,DN PESING,P3,4400.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.670737,112.100217,,,,EA589,A0,,
PJU KORIPAN (308),514010666604,DN KORIPAN,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.672937,112.084119,CANNET,DDS137,50903674443,EA140,A0,,
PJU TANON,514010666741,DN TANON,P3,6600.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.672999,112.084064,,,,EA140,C0,,
P J U TANON,514010612037,DN TANON,P3,1300.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.673196,112.087722,,,,EA475,C0,,
PJU BANGSONGAN (087),514010619423,DN BANGSONGAN,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.673198,112.087872,METBELOSA,OB941LU,2491565,EA475,C0,,
PJU DS TANON TIMUR,514010936601,DN TANON,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.673642,112.083848,MELCOINDA,MS98E,8793734,EA140,C2,,
PJU PULOSARI PAPAR (139),514010619394,DN PULOSARI,P3,320.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.677571,112.082437,,,,EA139,A0,,
P J U PULOSARI,514010608941,DN PULOSARI,P3,560.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.677609,112.082426,,,,EA139,A0,,
PJU PULOSARI,514010666717,DN PULOSARI,P3,6600.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.677672,112.082417,,,,EA139,C0,,
P J U PULOSARI,514010608925,DN PULOSARI,P3,560.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.679072,112.08681,,,,EA139,C6B12A4,,
PJU DESA SUKOHARJO,514581024262,SUKOHARJO KEC PLEMAHAN,P3,3500.0,1.0,METER,51458.0,KAB,KERTOSONO,1591.0,-7.6794058,112.158426,CANNET,DDS137,50904670788,HJ123,B03C01,,
P J U SRI KATON,514010609026,DS SRIKATON,P3,960.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.680776,112.10634,,,,EA391,D0,,
PJU BREJEL,514010666766,DN BERJEL,P3,1300.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.680816,112.106457,,,,EA391,B0,,
PJU GLAGAHAN,514010666612,DN GLAGAHAN KEPUH,P3,2200.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.680836,112.106431,,,,EA391,B0,,
PJU KEPUH (391),514010666733,DN SONO,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.68189,112.109256,CANNET,DDS137,50903406473,EA391,B6,,
PJU TANON ( 59 ),514011047560,DS TANON,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.685306,112.086134,SMARTMETER,SMI-200S,172278582,EA059,C2B14,,
PJU SRIKATON 465,514010782133,DN SLAMBUR LOR,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.68772,112.09583,METBELOSA,OB941S,2491396,EA465,D6,,
PJU PLEMAHAN,514581054833,DS PLEMAHAN,P3,4400.0,1.0,METER,51458.0,KAB,KERTOSONO,2000.0,-7.6877424,112.1765965,CANNET,DDS137,50904681207,HJ135,D20,,
PJU PAPAR,514011047511,DS PAPAR,P3,2200.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1000.0,-7.687776,112.079556,SMARTMETER,SMI-200S,172277504,EA095,C1,,
PJU DESA JATI,514591035671,DS JATI,P3,5500.0,1.0,METER,51459.0,KAB,WARUJAYENG,2500.0,-7.690766460083330,111.9686409831040,CANNET,DDS137,50904244592,HK089,C03,,
PJU PAPAR (553),514010666687,DS PAPAR,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.691075,112.078821,METBELOSA,OB941S,2490367,EA553,A10,,
PJU PAPAR ( 553 ),514010782125,JL RAYA PAPAR,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.691437,112.078748,METBELOSA,OB91LU,2490367,EA553,A9,,
PJU JAMBANGAN (297),514010619386,DN PLOSOKUNING,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.692034,112.106345,METBELOSA,OB941S,2491548,EA297,C1,,
PJU JAMBANGAN,514010666638,DN JAMBANGAN,P3,1600.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.692079,112.106382,,,,EA297,A0,,
P J U MADURETNO (230),514010608933,DN SLAMBUR KIDUL,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.692212,112.099097,METBELOSA,OB941S,2491454,EA230,A1,,
P J U PAPAR,514010609018,DS PAPAR,P3,6600.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.693015,112.076766,,,,EA553,A2D5,,
PJU PAPAR (553,514010619360,DN PAPAR UTARA,P3,1840.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.694091,112.078095,,,,EA553,A0,,
PJU DS CENGKOK EN 563,514111109390,DS CENGKOK,P3,2200.0,1.0,METER,51411.0,KAB,GROGOL,1000.0,-7.694339,111.947985,SMARTMETER,SMI 200 S,172277503,EN563,C10,,
PJU GONDANG (460),514010608853,DN GONDANG,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.694635,112,112582,SMARTMETER,SMI-200S,212745859,EA460,D2A2,,
PEN.JALAN PAPAR (051),514010250086,DS PAPAR,P3,7700.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,3500.0,-7.695094,112.078026,MELCOINDA,MS 98 E,7853301,EA051,A2,,
P J U SIMPANG EMPAT,514010606713,DS PAPAR,P3,2160.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.695245,112.078051,,,,EA051,A1,,
PJU DESA BLIMBING,514591035689,DS BLIMBING,P3,5500.0,1.0,METER,51459.0,KAB,WARUJAYENG,2500.0,-7.697641201081950,111.97316754609300,CANNET,DDS137,50905924606,HK108,A07,,
PJU TLANAK,514010666758,DN TLANAK,P3,1680.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.699921,112.093513,,,,EA229,B0,,
PJU MADURETNO (229),514010662759,DS MADURETNO,P3,7700.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,3500.0,-7.700804,112.096534,METBELOSA,OB941S,2492212,EA456,B8,,
PJU CENGKOK EN562 (M),514110615967,DS CENGKOK,P3,7700.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.700968,111.954104,METBELOSA,,2491497,EN562,C0,,
PJU NGAMPEL 473,514010782109,DK TLANAK,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.702678,112.10306,METBELOSA,OB941S,2491445,EA473,B7,,
PJU NGAMPEL,514011029869,DS NGAMPEL,P3,2200.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1000.0,-7.704586,112.109779,SMARTMETER,SMI 200 S,162666301,EA461,B1A18,,
PJU JENGGOTAN 625,514010782158,DN JENGGOTAN,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.704746,112.090264,METBELOSA,OB941S,2492222,EA625,A1,,
PJU DESA KEREP,514591035697,DS KEREP,P3,5500.0,1.0,METER,51459.0,KAB,WARUJAYENG,2500.0,-7.705936526928360,111.96987949311700,CANNET,DDS137,50905900234,HK109,A01,,
PJU GARDU 42,514061240511,DN DS LAMONG NO 0 LAMONG,P3,5500.0,1.0,METER,51406.0,KAB,PARE,2500.0,-7.706292,112.121144,MELCOINDA,MS98E,8798267,EF445,D3A3,,
PJU SBDUREN EN510 (M),514110799887,DN SUMBERDUREN,P3,2200.0,1.0,METER,51411.0,KAB,GROGOL,1000.0,-7.706724,111.951519,SMARTMETER,SMI 200 S,12071200,EN510,A4,,
PJU GARDU 42,514060729350,DN KEDUNG MALANG,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.707639,112.121978,CANNET,DDS137,50902030589,EF042,D0,,
PJU DS KAYENLOR T41,514060760389,DN KAYEN LOR,P3,2800.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.707651,112.127709,,,,EF041,D4A5,,
PJU DS KEDUNGSARI,514110675506,DS KEDUNGSARI TAROKAN,P3,6600.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.708612,111.939721,,,,EN482,A0,,
PJU PAPAR 492,514010782117,DS JANTI,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.708804,112.074446,METBELOSA,OB941S,2491566,EA221,A2B1A6,,
PJU DS WONOKERTO T41,514060760434,DN WONOKERTO,P3,7680.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.710481,112.127972,,,,EF041,D0,,
PJU,514060109306,JL WONOKERTO,P3,2200.0,1.0,METER,51406.0,KAB,PARE,1000.0,-7.710493,112.127986,MELCOINDA,INDO,94002508,EF041,B0,,
PJU MARGOURIP EF041,514060879649,DN POHGUNUNG,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.710500,112.127990,METBELOSA,OB91Z,94002508,EF041,B0,,
PJU JANTI,514010662767,DS JANTI,P3,7700.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.711418,112.072967,,,,EA221,A0,,
PJU DS SUMBERDUREN,514110675514,DS SUMBERDUREN,P3,320.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.711829,111.945189,,,,EN509,A0,,
PJU NGEMPLAK,514010666049,DN NGEMPLAK BAYE,P3,1140.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.711841,112.106424,,,,EA461,D0,,
PJU TAROKAN EN520 (M),514110582169,DN GEBANGKEREP TAROKAN,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.71188,111.94526,SANXING,CSI 01,4518515361,EN509,C0,,
PJU SBDUREN EN509,514110615983,DS SUMBERDUREN,P3,5500.0,1.0,METER,51411.0,KAB,GROGOL,2500.0,-7.711887,111.94522,SMARTMETER,SMI 200 S,12071096,EN509,A0,,
PJU NGEMPLAK,514010666661,DN NGEMPLAK,P3,7700.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.711892,112.106541,,,,EA461,B0,,
P J U NGAMPEL (461),514010612045,DN NGEMPLAK,P3,5500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2500.0,-7.711996,112.106862,METBELOSA,OB941S,2491546,EA461,B1,,
PJU DS KEDUNGSARI EN 525,514111109325,DS KEDUNGSARI,P3,3500.0,1.0,METER,51411.0,KAB,GROGOL,1591.0,-7.712984,111.936411,SMARTMETER,SMI 200 S,172277484,EN525,B3,,
PJU DAWUHAN KIDUL 040,514010782182,DS DAWUHAN,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.713436,112.074691,METBELOSA,OB941S,2491304,EA040,D1,,
P J U JANTI (221),514010608895,DS JANTI,P3,5500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2500.0,-7.713445,112.071279,METBELOSA,OB941S,2191098,EA221,C7,,
PJU DS KALIBOTO 119 A7,514111113075,DS KALIBOTO,P3,3500.0,1.0,METER,51411.0,KAB,GROGOL,1591.0,-7.713892,111.950067,SMARTMETER,SMI 200 S,172430198,EN119,A7,,
PJU PLOSOREJO,514010666709,DN PLOSOREJO,P3,1740.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.714454,112.095629,,,,EA413,B0,,
P J U JANTI (413),514010608861,DN PLOSOREJO,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.714465,112.095677,METBELOSA,OB941S,2490130,EA413,B0,,
P J U JANTI KLAMPISAN,514010605902,DS JANTI,P3,3500.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.714494,112.095634,,,,EA413,B0,,
PJU DS BOGOKIDUL T43,514060760371,DN BOGO KIDUL,P3,8480.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.715595,112.127678,,,,EF043,C0,,
PJU GARDU 43,514060729327,DN KAYEN LOR,P3,2200.0,1.0,METER,51406.0,KAB,PARE,1000.0,-7.715605,112.127671,MELCOINDA,INDO,94002431,EF043,C0,,
PJU SEMPU 245,514060879312,DN SEMPU,P3,2200.0,1.0,METER,51406.0,KAB,PARE,1000.0,-7.715613,112.127666,SMARTMETER,SMI 200 S,185281662,EF043,C0,,
P J U KERGAN (346),514010608887,DN KERGAN,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.716227,112.083483,METBELOSA,OB941S,2491420,EA346,D1,,
PJU DS KEDUNG SARI 481,514111113196,DS KEDUNG SARI,P3,2200.0,1.0,METER,51411.0,KAB,GROGOL,1000.0,-7.716572,111.936683,SMARTMETER,SMI 200 S,172424125,EN481,C4,,
P J U KERGAN (347),514010608879,DS DAWUHAN KIDUL,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.717184,112.087563,METBELOSA,OB941S,2491207,EA347,D3,,
PJU DAWUHAN,514010666583,DS DAWUHAN,P3,660.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.717588,112.088701,,,,EA347,D0,,
PJU PLEMAHAN,514061263062,DS KUNJANG NO 0 NGANCAR,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.717955,112.134689,SANXING,CSI01,4520028393,EF138,B14,,
PJU DS KALIBOTO 119 C7,514111113266,DS KALIBOTO,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.718174,111.948944,SMARTMETER,SMI 200 S,172425069,EN360,A12,,
PJU MINGGIRAN (569),514010619431,DN REJOWINANGUN,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.719043,112.065836,METBELOSA,OB941S,2491008,EA569,C1,,
PJU DS KALIRONG EN 508,514111109175,DS KALIRONG,P3,2200.0,1.0,METER,51411.0,KAB,GROGOL,1000.0,-7.721376,111.963917,SMARTMETER,SMI 200 S,17242406,EN508,A18,,
PJU DS KALIBOTO T. 360,514110615991,DS KALIBOTO,P3,10600.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.722212,111.947907,,,,EN360,A0,,
PJU DS SUMBERJO EN023,514111109212,DS SUMBERJO,P3,2200.0,1.0,METER,51411.0,KAB,GROGOL,1000.0,-7.723574,111.968436,SMARTMETER,SMI 200 S,,EN023,B1A1B1,,
PJU KAYEN KIDUL (135),514010666653,DN KAYEN KIDUL,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.724072,112.061117,SANXING,CSI01,4520066540,EA282,A0,,
PJU MINGGIRAN,514010893331,DS MINGGIRAN,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.724095,112.06108,SMARTMETER,SMI 200 S,12354019,EA282,C0,,
PJU NGANDONG (410),514010666214,DN NGANDONG,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.724984,112.119117,METBELOSA,OB941S,2491643,EA410,D2,,
PJU KALIRONG EN508 (M),514110801845,DS ANGLINGDARMO,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.724989,111.962966,SMARTMETER,SMI 200 S,12071088,EN508,A5,,
PJU BABADAN 249,514060879282,DN SANDING,P3,4400.0,1.0,METER,51406.0,KAB,PARE,2000.0,-7.725149,112.158207,METBELOSA,OB91Z,2491491,EF206,D5A3,,
PJU DS TAROKAN,514110558428,DS TAROKAN,P3,22000.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.725602,111.943607,,,,EN520,B0,,
PJU TAROKAN EN520 (M),514110558402,DS TAROKAN,P3,5500.0,1.0,METER,51411.0,KAB,GROGOL,2500.0,-7.72561,111.943621,SMARTMETER,SMI 200 S,12071098,EN520,B0,,
P J U SUMUR (601),514010605898,DN SUMUR,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.725659,112,111933,METBELOSA,OB941S,2491116,EA601,D1A10,,
PJU SEMPU 247,514060879290,DN SB PETUNG,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.725839,112.166602,METBELOSA,OB91Z,2491552,EF205,D1,,
PJU SUMBERJO EN444 (M),514110675277,DS SUMBERJO,P3,11000.0,1.0,METER,51411.0,KAB,GROGOL,5000.0,-7.725918,111.97368,SMARTMETER,SMI 200 S,130272177,EN448,A0,,
PJU PURWOTENGAH 632,514010782141,DN WONOSARI,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.72691,112.037066,SMARTMETER,SMI 200 S,130049965,EA632,B2,,
PJU BOGANGIN,514010665955,DN BOGANGIN KIDUL,P3,3040.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.726971,112.128321,,,,EA379,B0,,
P J U BOGANGIN,514010612011,DN BOGANGIN KIDUL,P3,2800.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.726979,112.128241,,,,EA379,B0,,
PJU MEJONO T.300,514061240113,DN MEJONO NO 0 MEJONO,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.727161,112.143292,MELCOINDA,MS98E,8936469,EF137,B1,,
PJU KALIRONG TAROKAN,514110675251,DS KALIRONG,P3,10600.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.727317,111.962372,ELIPS SYSTEM,S100,114021143825,EN508,C2,,
PJU SEMPU 246,514060879304,DN SUMBER PETUNG,P3,2200.0,1.0,METER,51406.0,KAB,PARE,1000.0,-7.727398,112.149346,METBELOSA,OB91Z,2491536,EF204,A7,,
KNT.KABUPATEN KEDIRI,514010020897,DS MORANGAN,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.727478,112.057238,METBELOSA,OB941S,2491194,EA050,A1,,
PJU DS PAGUNG T.564/565,514110616092,DS PAGUNG SEMEN,P3,27150.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.72748,111.925803,,,,EN656,A0,,
PJU,514010174293,DS MINGGIRAN,P3,1520.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.727575,112.05707,,,,EA050,A0,,
PJU TAROKAN EN656 (M),514110801811,DS TAROKAN,P3,5500.0,1.0,METER,51411.0,KAB,GROGOL,2500.0,-7.728092,111.923928,SMARTMETER,SMI 200 S,130082365,EN656,C5,,
PJU KALIRONG EN560 (M),514110801803,DS BECEK,P3,7700.0,1.0,METER,51411.0,KAB,GROGOL,3500.0,-7.728204,111.950167,SMARTMETER,SMI 200 S,130082190,EN560,D12A7,,
PJU PEH KULON,514010666695,DS PEH KULON,P3,6600.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.728842,112.075844,,,,EA389,B0,,
PJU PEHKULON (389),514010619415,DS PEH KULON,P3,5500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2500.0,-7.728866,112.076231,METBELOSA,OB941S,2490390,EA389,B1,,
PJU GERDU (234),514010665989,DN GERDU,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.728894,112.052265,MELCOINDA,MS98E,10086633,EA234,C1D7A1,,
PJU PURWOTENGAH (383),514010619378,DS PURWOTENGAH,P3,7700.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,3500.0,-7.72949,112.027504,MELCOINDA,MS98E,9663436,EA383,A1,,
PJU GENUK WATU (459),514010666023,DN GENUK WATU,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.729532,112.105263,METBELOSA,OB941S,2491082,EA459,B1A4,,
PJU DS BABADAN,514060664410,JL BABADAN,P3,7780.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.729724,112.148645,,,,EF204,A0,,
PJU DS PUHJARAK T204,514060760400,DN PUHJARAK,P3,5630.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.729740,112.148641,,,,EF204,A0,,
PJU PURWOTENGAH,514010666725,DS PURWOTENGAH,P3,6600.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.729792,112.054526,,,,EA234,A0,,
P J U PURWOTENGAH,514010608804,DS PURWOTENGAH,P3,480.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.729813,112.054558,,,,EA234,A0,,
PJU MEJONO EF137,514060880791,DS MAWAR,P3,2200.0,1.0,METER,51406.0,KAB,PARE,1000.0,-7.730126,112.142404,METBELOSA,OB91LU,2491537,EF137,D1,,
PJU DS MEJONO T137,514060760418,DN MEJONO,P3,3440.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.730204,112.142648,,,,EF137,D0,,
PJU SEMAMBUNG,514010666102,DS SEMAMBUNG,P3,1200.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.730827,112.10452,,,,EA459,B0,,
PJU DS SUMBERJO EN 444,514111109403,DS SUMBERJO,P3,2200.0,1.0,METER,51411.0,KAB,GROGOL,1000.0,-7.730865,111.972903,SMARTMETER,SMI 200 S,172424080,EN444,C7,,
P J U PEHWETAN (390),514010608783,DS PEH WETAN,P3,7700.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,3500.0,-7.731106,112.087732,SMARTMETER,SMI 200 S,12561856,EA390,B0,,
PJU TUNDAN (234),514010666591,DN TUNDAN,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.731127,112.050626,CANNET,DDS137,50904217028,EA234,C8D6,,
PJU GONDANG,514010666620,DN GONDANG,P3,1460.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.731145,112.087809,,,,EA390,B0,,
PJU  MEJONO,514061212767,DS MEJONO,P3,2200.0,1.0,METER,51406.0,KAB,PARE,1000.0,-7.731446,112.147154,SMARTMETER,SMI 200 S,161768005,EF204,C5D2,,
P J U PADANGAN (538),514010612029,DS PADANGAN,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.732116,112.117797,MELCOINDA,MS 98 E,7770753,EA538,A1,,
PJU TANGKILAN,514010662527,DN TANGKILAN,P3,6480.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.73224,112.117835,,,,EA538,A0,,
PJU BULUSARI EN061,514110675492,DS BULUSARI TAROKAN,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.732421,111.948505,SMARTMETER,SMI 200 S,150003859,EN359,A0,,
PJU KWARON,514010666646,DS KWARON,P3,11000.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.733619,112.060749,,,,EA087,B0,,
PJU KRECEK EF163,514060880369,JL JOMBANG,P3,7700.0,1.0,METER,51406.0,KAB,PARE,3500.0,-7.733655,112.200627,METBELOSA,OB91LU,2491038,EF163,A8,,
PJU TEGOWANGI EF152,514060880670,JL TANJUNG ANOM,P3,5500.0,1.0,METER,51406.0,KAB,PARE,2500.0,-7.734486,112.164262,CANNET,DDS137,50905223595,EF152,B12,,
PJU DS GAMBYOK,514110675228,DS GAMBYOK,P3,5500.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.734504,111.990345,,,,EN442,D0,,
PJU DS TAROKAN EN026,514111109366,DS TAROKAN,P3,2200.0,1.0,METER,51411.0,KAB,GROGOL,1000.0,-7.734523,111.922704,SMARTMETER,SMI 200 S,172278076,EN026,A7,,
PJU TPA,514060622132,DN SEKOTO,P3,5500.0,1.0,METER,51406.0,KAB,PARE,2500.0,-7.734742,112.177937,METBELOSA,LOSA,761263,EF121,B1,,
PJU TANGKILAN,514010666151,DN TANGKILAN,P3,2320.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.735471,112.115522,,,,EA411,C0,,
PJU JAMBU T.70,514061240290,DN JAMBU NO 0 JAMBU,P3,4400.0,1.0,METER,51406.0,KAB,PARE,2000.0,-7.736056,112.138219,MELCOINDA,MS98E,8797015,EF070,D12,,
PJU KORIPAN,514010662543,DN KORIPAN,P3,5540.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.736126,112.065166,,,,EA308,B0,,
P J U KORIPAN,514010612052,DN KORIPAN,P3,7700.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.736203,112.065068,,,,EA308,B0,,
PJU NGLEREP (633),514010666679,DN NGLEREP WETAN,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.737262,112.046044,METBELOSA,OB941S,2491087,EA633,A4,,
